dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-1230257,ocds-dgv273-seacev3-1247649,PE-CONSUCODE-1841,LP-ABR-3-2026-MDCN-T-1,2026-06-17T20:47:00-05:00
ocds-dgv273-seacev3-1226384,ocds-dgv273-seacev3-1247649,PE-CONSUCODE-1841,LP-ABR-3-2026-MDCN-T-1,2026-06-17T20:47:00-05:00
ocds-dgv273-seacev3-1233570,ocds-dgv273-seacev3-1234785,PE-CONSUCODE-1602,LP-ABR-4-2026-MDS-1,2026-06-15T20:42:00-05:00
ocds-dgv273-seacev3-1225359,ocds-dgv273-seacev3-1234785,PE-CONSUCODE-1602,LP-ABR-4-2026-MDS-1,2026-06-15T20:42:00-05:00
ocds-dgv273-seacev3-1247631,ocds-dgv273-seacev3-1224892,PE-CONSUCODE-10502,CP CON-SM-1-2026-GERESA/LL-1,2026-06-16T19:33:00-05:00
ocds-dgv273-seacev3-1229599,ocds-dgv273-seacev3-1236882,PE-CONSUCODE-960,LP-SM-1-2026-MPA/C-1,2026-06-30T23:55:00-05:00
ocds-dgv273-seacev3-1228703,ocds-dgv273-seacev3-1238174,PE-CONSUCODE-1923,LP-SM-2-2026-SUNASS-1,2026-06-25T17:48:00-05:00
ocds-dgv273-seacev3-1226870,ocds-dgv273-seacev3-1228409,PE-CONSUCODE-1536,CP-ABR-7-2026-OC-MPMN-1,2026-06-18T17:10:00-05:00
ocds-dgv273-seacev3-1222346,ocds-dgv273-seacev3-1231123,PE-CONSUCODE-2365,LP-SM-1-2026-EPS ILO S.A.-1,2026-06-04T17:19:00-05:00
ocds-dgv273-seacev3-1224471,ocds-dgv273-seacev3-1224478,PE-CONSUCODE-1592,CP-ABR-1-2026-MDT-COMITE-2,2026-06-11T15:19:00-05:00
ocds-dgv273-seacev3-1240626,ocds-dgv273-seacev3-2026-200195-66,PE-CONSUCODE-200195,CP-ABR-9-2026-ELECTRONORTE S.A.-1,2026-06-15T21:38:00-05:00
ocds-dgv273-seacev3-1248345,ocds-dgv273-seacev3-1228515,PE-CONSUCODE-1584,CP-ABR-15-2026-OC/MPP-1,2026-06-25T10:44:00-05:00
ocds-dgv273-seacev3-1240003,ocds-dgv273-seacev3-1227350,PE-CONSUCODE-1709,LP-ABR-2-2026-MDP/OC-1,2026-06-19T20:15:00-05:00
ocds-dgv273-seacev3-1248126,ocds-dgv273-seacev3-1225958,PE-CONSUCODE-2005,LP-ABR-2-2026-SAT-1,2026-06-16T18:03:00-05:00
ocds-dgv273-seacev3-1224676,ocds-dgv273-seacev3-1225133,PE-CONSUCODE-1947,CP-ABR-10-2026-PROMPERU-1,2026-06-11T21:00:00-05:00
